mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
d077ce1fd5dc,WAP022-RM-227-229,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422062,4.88,3,0.110842,0.083497,0.030762,22.95,77.05,3,4,8,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-108.100862,1,1000,full
d077ce1fd628,WAP020-RM-201-223,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422078,4.89,3,0.083986,0.078614,0.049317,23.23,76.77,3,4,8,1,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-126.100862,1,1000,full
d077ce1fd644,WAP004-RM-107-109,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422028,4.88,3,0.020508,0.021973,0,22.79,77.21,3,4,3,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-92.100862,1,1000,full
d077ce1fd664,WAP040-RM-Telecom-MDF,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,580633,6.72,2,0.053712,0.049805,0.00293,22.37,77.63,3,4,2,1,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-104.100862,1,1000,full
d077ce1fd700,WAP019-RM-220-222,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422047,4.88,3,0.059571,0.080568,0.040528,23.62,76.38,3,4,4,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-96.100862,1,1000,full
d077ce1fd708,WAP018-RM-217-219,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422064,4.88,3,0.070314,0.05713,0.013672,22.96,77.04,3,4,2,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-115.100862,1,1000,full
d077ce1fd798,WAP016-RM-209-211,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422095,4.89,3,0.009277,0.03125,0,23.21,76.79,3,4,3,6,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-146.100862,1,1000,full
d077ce1fd7b8,WAP011-RM-129-131,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422069,4.89,2,0.016602,0.052735,0.028321,23.09,76.91,3,4,7,11,20,149,40,0,0,auto,auto,unknown,20,40,unknown,-125.100862,1,1000,full
d077ce1fd7e4,WAP015-RM-205-207,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422060,4.88,3,0.106447,0.102052,0.063966,23.0,77.0,3,4,2,11,20,44,40,0,0,auto,auto,unknown,20,40,unknown,-111.100862,1,1000,full
d077ce1fd828,WAP005-RM-111-113,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,422092,4.89,3,0.080079,0.028809,0.005371,22.84,77.16,3,4,2,11,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-154.100862,1,1000,full
